LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
26980,Whitehorse (C),Residential Capacity (MW),0
37340,Whitsunday (R),Residential Capacity (MW),128499
27070,Whittlesea (C),Residential Capacity (MW),65811
48540,Whyalla (C),Residential Capacity (MW),0
59100,Wickepin (S),Residential Capacity (MW),18120
59170,Williams (S),Residential Capacity (MW),30853
18250,Willoughby (C),Residential Capacity (MW),32922
59250,Wiluna (S),Residential Capacity (MW),15435
18350,Wingecarribee (A),Residential Capacity (MW),79132
37400,Winton (S),Residential Capacity (MW),18523
27170,Wodonga (C),Residential Capacity (MW),33872
18400,Wollondilly (A),Residential Capacity (MW),208994
18450,Wollongong (C),Residential Capacity (MW),35570
59310,Wongan-Ballidu (S),Residential Capacity (MW),33028
59320,Woodanilling (S),Residential Capacity (MW),14828
18500,Woollahra (A),Residential Capacity (MW),0
37550,Woorabinda (S),Residential Capacity (MW),40
48640,Wudinna (DC),Residential Capacity (MW),34324
37570,Wujal Wujal (S),Residential Capacity (MW),627
59330,Wyalkatchem (S),Residential Capacity (MW),13467
27260,Wyndham (C),Residential Capacity (MW),58222
59340,Wyndham-East Kimberley (S),Residential Capacity (MW),18162
59350,Yalgoo (S),Residential Capacity (MW),12885
48750,Yankalilla (DC),Residential Capacity (MW),476
27350,Yarra (C),Residential Capacity (MW),0
27450,Yarra Ranges (S),Residential Capacity (MW),"543,349"
37600,Yarrabah (S),Residential Capacity (MW),"11,181"
27630,Yarriambiack (S),Residential Capacity (MW),"120,164"
18710,Yass Valley (A),Residential Capacity (MW),"76,694"
59360,Yilgarn (S),Residential Capacity (MW),"32,278"
